gene,rna_col,queries,gs_names
HYAL2,rna_HYAL2,inflammatory_response; kinase_signalling,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOMF_RECEPTOR_TYROSINE_KINASE_BINDING
HYAL3,rna_HYAL3,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
IER3,rna_IER3,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
IFI16,rna_IFI16,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
IFI27,rna_IFI27,ecm_remodelling; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_PYROPTOTIC_INFLAMMATORY_RESPONSE
IFI35,rna_IFI35,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
IFNA2,rna_IFNA2,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
IFNG,rna_IFNG,ecm_remodelling; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS; GOBP_MEMBRANE_PROTEIN_PROTEOLYSIS; GOBP_NEUROINFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS; GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS; HP_INCREASED_INFLAMMATORY_RESPONSE
IFNGR1,rna_IFNGR1,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
IFNGR2,rna_IFNGR2,hallmark_inflammation; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE; HALLMARK_INFLAMMATORY_RESPONSE
IGF1,rna_IGF1,inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE; GOBP_NEUROINFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE
