gene_feature,p_value
rna_AIM2,2.2714730418988761e-7
rna_TLR3,2.3275122900342373e-7
rna_ISG15,2.3500366948147843e-7
rna_OSBPL7,2.387544529039288e-7
rna_KRT10,2.480655922299517e-7
rna_CACNA1G,2.5006877888266014e-7
rna_PRKAR2A,2.561550042048559e-7
rna_APPL1,2.5780065119927935e-7
rna_TRIM13,2.63028895181605e-7
rna_ARPC1B,2.6588259119430155e-7
rna_ENPEP,2.676472092831621e-7
rna_NKX2-1,2.688493536813801e-7
rna_KPTN,2.7560053792666643e-7
rna_FANCD2,2.816562162096135e-7
rna_SAA4,2.9335568661235325e-7
rna_SPG7,3.009401002138174e-7
rna_GIGYF2,3.114650142533481e-7
rna_DAGLB,3.174724631221271e-7
rna_UBA6,3.181875876306516e-7
rna_PIAS1,3.2499975088220817e-7
rna_SPSB2,3.262209584385954e-7
rna_LIF,3.2769008357755405e-7
rna_ITGA2B,3.3324138224763445e-07
rna_KLK10,3.394854385570781e-7
rna_NPFFR2,3.4341632765993656e-7
rna_RNF175,3.4485683090282343e-7
rna_EXOC3L2,3.5820718542332376e-7
rna_GJB6,3.6457160626468196e-7
rna_BANK1,3.7963483290404157e-7
rna_EFNA5,3.867253695740282e-7
rna_FOSL1,3.9262182001512877e-7
rna_USP35,3.941071110324273e-7
rna_ECE2,4.0451589586012867e-7
rna_NSUN2,4.0736379575653247e-7
rna_LGALS2,4.081364652105153e-7
rna_RPS6KA5,4.1914695442094653e-7
rna_MRC2,4.3963846856775945e-7
rna_PRSS50,4.527101076662887e-7
rna_SEMA7A,4.5957983660013187e-7
rna_EIF3A,4.6328753614833926e-7
rna_PTPN2,4.6919456657751636e-7
rna_C1R,4.696564851951517e-7
rna_KIF15,4.755638779767309e-7
rna_TLL1,4.792761251636965e-7
rna_CPA4,4.880216055947468e-7
rna_PARN,4.979287266100704e-7
rna_LEPROT,5.131882778185558e-7
rna_ANLN,5.218693457171997e-7
rna_ZFAT,5.268969314898258e-7
rna_DOCK8,5.4625102208134e-7
rna_CPA3,5.513557385468323e-7
rna_PSMB2,5.630995320470693e-7
rna_PSMA1,5.657866894567122e-7
rna_CAMKK2,5.828699001037093e-7
rna_ITGA2,5.868610703980609e-7
rna_ROR1,5.916080100979559e-7
rna_QSOX1,5.918736352923239e-7
rna_RNF7,6.136101163936443e-7
rna_FANCA,6.197362481948084e-7
rna_RCHY1,6.224547072513365e-7
rna_AGTR1,6.382403787103353e-7
rna_ADAM33,6.422672294246966e-7
rna_STAG2,6.504031817776958e-7
rna_PMM2,6.587597893826901e-7
rna_TINAG,6.638577883037838e-7
rna_COMT,6.65059688342378e-7
rna_LMNB1,6.723644921319094e-7
rna_OTUD5,6.776294777555619e-7
rna_IGF1R,6.877975352822285e-7
rna_TSPAN18,6.906344156737347e-7
rna_FBXO24,6.941764507659037e-7
rna_DDIT3,7.040810227075425e-7
rna_CTBP1,7.09246940935321e-7
rna_CRHBP,7.134125625726904e-7
rna_EPHB2,7.196666939291583e-7
