query,gs_name,gene_symbol
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,P3H1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,P3H2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,P3H3
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,P3H4
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,PCOLCE
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,PEPD
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,PLOD1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,PLOD2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,PLOD3
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,PPARD
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,PRDX5
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,PRSS2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,PRTN3
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,RAP1A
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,RCN3
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,RETREG1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,RETREG2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,RETREG3
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,RGCC
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,RUNX1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,SCX
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,SERPINB7
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,SERPINF2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,SERPINH1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,SMPD3
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,SUCO
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,TGFB1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,TGFB3
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,TMEM131
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,TMPRSS6
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,TNS2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,TNXB
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,TRAM2
