feature,n,events,hazard_ratio,conf_low,conf_high,p_value,p_adjust_bh,abs_log_hr
PRDX1_PRDX1,454,158,1.0973075774937997,0.9368366621609209,1.2852655839150808,0.24967634449310883,0.3480889182349181,0.09285952257156192
NOTCH1_Notch1,454,158,0.9095905018341608,0.7731448815433869,1.0701162237216355,0.253145485651235,0.3503680272419267,0.09476077873515787
PREX1_PREX1,454,158,1.097310520947324,0.9318371959525972,1.2921681862578704,0.2655080020476597,0.36483473662664023,0.09286220500047868
EGFR_EGFR,454,158,1.0895164682411984,0.9312524313220781,1.2746770850128701,0.28436265801960753,0.3879519120124646,0.08573399070013966
HSPA1A_HSP70,454,158,1.0863329641734003,0.9311384639909895,1.267394007107826,0.2924154046651994,0.3961088105748446,0.08280777136528741
PRKCA_PKC_alpha_pS657,454,158,1.0826828681944896,0.932824583262629,1.2566158891117292,0.29596299368893286,0.398091068975959,0.07944209798470898
STK11_LKB1,454,158,1.0963502220796086,0.9197548220478075,1.306852413970307,0.3046521069026983,0.40691295397493266,0.09198668317504599
TUBA1B_Acetyl_a_Tubulin_Lys40,454,158,0.9203441588670438,0.7823427094448205,1.0826883928678426,0.3166047215245797,0.41994098479996333,0.08300759316662333
SRSF1_SF2,454,158,1.081860570360854,0.9264962558486769,1.2632779531627978,0.31985534847655905,0.42132670040705367,0.07868230923799538
ITGA2_CD49b,454,158,1.0895769991791782,0.9157800826292758,1.2963571272830288,0.33322707207815755,0.4359340463488225,0.08578954677325017
RICTOR_Rictor_pT1135,454,158,0.888283786169449,0.6974948114973127,1.131260149559652,0.3369285921662162,0.43777796669215846,0.11846400802481508
YWHAB_14_3_3_beta,454,158,1.073071099624437,0.9259816034037226,1.2435253363744843,0.34845125509918157,0.4496904711077276,0.07052472391782788
PRKCB_PKC_pan_BetaII_pS660,454,158,0.92506541875454,0.782132461472057,1.0941190541623944,0.36304724359312945,0.46538270823011896,0.07789082099258271
ARAF_A_Raf_pS299,454,158,0.9242433476200185,0.7792460979704608,1.0962207803730828,0.36556212261257565,0.46548243612667967,0.07877987878933108
ERCC1_ERCC1,454,158,1.0768518816990618,0.9084614928939224,1.2764547360448368,0.3934268105035607,0.4976458331535106,0.07404186011749815
CHEK1_Chk1_pS345,454,158,1.0666443568508104,0.9174005734216631,1.2401672911084458,0.40150347661828606,0.5045208160137673,0.06451760546647478
RICTOR_Rictor,454,158,0.9316248611166269,0.7869380948757553,1.1029137965262765,0.41081772911203396,0.5095206900025875,0.0708250548567675
MAPK14_p38_MAPK,454,158,0.9351357676487455,0.7970250397777199,1.0971787086888631,0.41078519172701944,0.5095206900025875,0.0670635541933878
CHEK2_Chk2_pT68,454,158,1.0731075588764645,0.8991346270673619,1.2807423919082712,0.43430957253524294,0.527509531311959,0.07055869988892101
KIT_c_Kit,454,158,0.9337975711336051,0.7853198439172581,1.1103474725730889,0.43819213463987267,0.527509531311959,0.06849559750500671
MS4A1_CD20,454,158,0.9361903125794493,0.7921714357353851,1.1063922048059995,0.4391309710921543,0.527509531311959,0.06593649776695923
ANXA1_Annexin_1,454,158,1.065349574374811,0.9079375883695742,1.2500525698673948,0.4377391838238118,0.527509531311959,0.0633029841523903
BRCA2_BRCA2,431,154,1.0621321791048255,0.9122684475876445,1.2366149118421448,0.4373052274246396,0.527509531311959,0.060278377508863286
FOXM1_FoxM1,454,158,1.0760919416941612,0.889621373437267,1.301647983686586,0.45005089625397876,0.5339113117050307,0.07333590576030193
ETS1_ETS_1,454,158,1.0653240051886743,0.9044075391769539,1.2548714897534528,0.44882083469243617,0.5339113117050307,0.06327898311686511
ESR1_ER_alpha_pS118,454,158,1.0620962243655518,0.9040757652673193,1.2477365649526246,0.46355617403857174,0.5465384521072049,0.06024452546242766
PGR_PR,454,158,0.9210919505134737,0.7315747067033568,1.1597043658382435,0.4843403523166304,0.5675399220397326,0.08219541001921273
CLDN7_Claudin_7,454,158,0.9418034919135372,0.7934405889017128,1.117908296837091,0.49299263128907966,0.574156052293989,0.05995863347777553
ARID1A_ARID1A,431,154,1.0578876459905557,0.8974724137475623,1.2469756779111685,0.5024091374129953,0.57807316413182,0.05627413308112871
PRKCD_PKC_delta_pS664,454,158,1.057608646794651,0.8988211383920254,1.244447868433372,0.49979985045837527,0.57807316413182,0.05601036594669906
CDKN1B_p27,454,158,1.0540386028010396,0.899575312284421,1.2350243064957533,0.5150766160863701,0.5890996028293215,0.0526290744969145
FOXO3_FOXO3a,454,158,1.0590742709490382,0.88847081846434794,1.2624368612633787,0.5218862758576333,0.5933349921952854,0.0573951972564121
XRCC5_Ku80,454,158,0.9493897143884623,0.7917956345535828,1.1383503399772912,0.5749402520087903,0.6459622831392879,0.05193590672552001
BAK1_Bak,454,158,0.9537647819316964,0.8086032013994078,1.1249859729455713,0.5741571330620134,0.6459622831392879,0.04733819775474483
RBM15_RBM15,454,158,0.9595224734245921,0.8255323715938757,1.1152601747515496,0.5902754804037612,0.6593135482872421,0.041319541792423385
RAF1_C_Raf,454,158,1.0483154310268394,0.8771266045967808,1.2529151859829717,0.6039631390714959,0.666803234466218,0.0471845244165481
BCL2L11_Bim,454,158,1.044488278890534,0.8872121119412346,1.2296448054036153,0.6011498880511351,0.666803234466218,0.04352708020957003
GSK3A_GSK3B_GSK3_alpha_beta,454,158,1.0451314122563617,0.8783994812349261,1.2435112864016413,0.6186164823704521,0.6790560237514732,0.04414263086585405
EEF2K_eEF2K,454,158,1.0371806542179256,0.8818475337196043,1.2198749424931452,0.6592046779886966,0.7194748199762346,0.03650612257815444
PRKCA_PKC_alpha,454,158,1.0336042167298427,0.8892762114037659,1.2013564100126872,0.666669065046441,0.7234874512719899,0.03305193369136418
MAPK8_JNK_pT183_Y185,454,158,1.0337911970607392,0.8724620280153708,1.224952152417856,0.7010560096901925,0.7565067675187953,0.03323281861561142
BIRC2_cIAP,454,158,0.9713306355086798,0.8131230204009023,1.1603203694965132,0.7484520552818357,0.8031142840383743,0.029088358343689655
GAPDH_GAPDH,454,158,0.9761386400568317,0.8285488960769568,1.1500186037584186,0.7727728010271642,0.8245787988613874,0.024150653418525254
MRE11A_Mre11,454,158,1.0240589331891303,0.8588106051251829,1.2211035732279973,0.7911785031799025,0.839528300596452,0.02377407690377662
PIK3CA_PI3K_p110_alpha,454,158,1.017763643838569,0.8776705236471136,1.1802183243151103,0.8157345953736258,0.8608028050627765,0.017607714195218966
EIF4E_eIF4E,454,158,1.0149415559643173,0.8544922203313219,1.205518713352188,0.8658562949197325,0.9046054368965789,0.014831030505217944
MYH9_Myosin_IIa_pS1943,454,158,1.0144734084130491,0.8577503791245776,1.1998319341199812,0.8667162039375599,0.9046054368965789,0.014369668420292333
