sample_id,score_ecm_remodelling_mean,score_ecm_remodelling,score_hallmark_inflammation_mean,score_hallmark_inflammation,score_inflammatory_response_mean,score_inflammatory_response,score_kinase_activity_mean,score_kinase_activity,score_kinase_signalling_mean,score_kinase_signalling,score_metalloprotease_activity_mean,score_metalloprotease_activity,score_neutrophil_activation_mean,score_neutrophil_activation,score_neutrophil_degranulation_mean,score_neutrophil_degranulation,score_rna_datadriven
TCGA-A3-A8OU-01,7.886453093066761,2.8001375698120254,7.973049001694303,-1.1652336473702043,7.899970991671158,0.2627824424735604,8.218897248008199,-2.3695330242813437,8.039867775722657,-3.0335024246194324,6.600643254813604,0.41274393901875056,7.299900198155172,-1.7599167688375337,9.207994723990582,-1.4188315897169426,-0.4794400764559136
TCGA-A3-A8OV-01,7.585530317318884,9.109387989570942,7.40379590366942,-7.205070511175454,7.577992811469103,12.578988902531131,7.759547284024801,-6.15622285296025,7.630665524511078,-13.016915124563566,6.221959057593038,4.6390446952827125,6.892445319064691,-0.08978408084253095,8.81705998459584,-0.31462234736137396,1.6101991710555519
TCGA-A3-A8OW-01,7.767868054271535,1.9567212087988288,7.62354921496104,-5.014026183531392,7.747390118478229,5.19239030456979,8.094509739135985,2.1734374018958804,8.014204435743538,3.7687282015181007,6.544567063223768,1.2982810727110279,6.882677302598921,2.6415032410937482,8.776487425186392,1.4909615855079512,1.5882770399059611
TCGA-A3-A8OX-01,8.112820306934278,-4.496995351055616,8.267425621649007,1.4011582814505383,8.141413471858938,-6.552386410594418,8.469880403911766,0.5410299862980541,8.385148078380803,3.7278413441492826,7.062636015069538,-3.544965626710185,7.478579204131515,-1.1121019316278913,9.352732242072697,-0.7887651422059746,0.021033497416536834
TCGA-AK-3426-01,8.07309072662253,-1.3036706752210934,8.773876521484393,11.538714184563863,8.2638442846928,-23.204675338892578,8.35453588631061,-8.259775936826625,8.196486384936255,-10.620022819321566,6.980063276087866,-7.101610675337149,8.019856355153493,-8.446414797347176,10.123399945081655,-4.308675295758486,-4.481996018600049
TCGA-AK-3427-01,7.37627774624866,0.43967215029877926,6.483225056116916,-22.928649642016534,6.970297345051795,43.664471666818024,7.204978047518369,-15.25672671758168,7.4312468985247735,-24.281759635634284,5.6395745502644825,6.715843020928545,5.907611711837268,10.12877409533057,8.449599310638451,6.923023634038564,2.3415966136510837
TCGA-AK-3428-01,7.529783778275399,8.461215052190843,8.027128415306805,0.05478995361621833,7.5246407508089614,16.01975424221895,7.900850920505034,1.0730137353628069,7.735788288413687,-0.12028414345513694,6.0842098276346865,6.297831658018693,6.900510411626086,1.6872060060058167,8.671703702829532,1.6417301164311322,2.145959298183858
TCGA-AK-3429-01,7.572973159866619,9.830693221371712,8.012882780784958,1.4712084776759233,7.714296709775313,3.4140007819386984,7.830030950151754,-2.293131478778071,7.697551599140033,-7.539012465841944,6.192489653833838,5.09977207500095,7.030091143012795,-1.715391391648223,9.386083515365808,-1.4650566474357998,2.235977156900692
TCGA-AK-3431-01,7.980637942309385,-1.9148682403554391,8.10586475383495,-0.4051962269463531,7.807043864044119,5.03453106860809,8.287525325112004,4.817349764446612,8.173353020242676,9.398600472498702,6.746897835818043,-0.05486259158566328,6.95732361780316,1.864724974788307,8.444869992829576,2.2683513592381077,1.0994194458244206
TCGA-AK-3433-01,7.316586033475199,3.0478376974009915,6.6887095378863926,-19.07921137434241,7.113282634419837,34.3736025032635,7.483475854405024,-6.477668252455627,7.533274627565491,-13.88236079085884,5.860523733443919,6.619333622603098,6.078034334510539,8.47238205341093,9.019280814128589,2.3787106905309408,2.8675820735656004
